Student,Class,Math_1,Math_2,Physics_1,Physics_2,Science_1,Science_2,Math,Physics,Science,Score
Student_1643,IDISC,10,3,16,3,3,0,6.5,9.5,1.5,5.83
Student_1644,ISEOC,2,15,1,14,13,7,8.5,7.5,10.0,8.67
Student_1645,IDL,0,5,6,1,3,11,2.5,3.5,7.0,4.33
Student_1646,IDISC,1,4,17,11,8,19,2.5,14.0,13.5,10.0
Student_1647,ISEOC,6,9,14,4,13,13,7.5,9.0,13.0,9.83
Student_1648,IDL,18,19,4,16,20,5,18.5,10.0,12.5,13.67
Student_1649,IDL,20,6,7,15,8,2,13.0,11.0,5.0,9.67
Student_1650,IDL,17,20,6,20,18,14,18.5,13.0,16.0,15.83
Student_1651,IDL,16,8,6,8,16,18,12.0,7.0,17.0,12.0
Student_1652,IDL,1,15,5,4,7,14,8.0,4.5,10.5,7.67
Student_1653,IDISC,11,12,6,14,5,15,11.5,10.0,10.0,10.5
Student_1654,ISEOC,19,16,12,11,4,11,17.5,11.5,7.5,12.17
Student_1655,IDL,17,0,10,19,4,6,8.5,14.5,5.0,9.33
Student_1656,IDISC,13,1,5,12,11,6,7.0,8.5,8.5,8.0
Student_1657,IDISC,2,5,18,11,1,2,3.5,14.5,1.5,6.5
Student_1658,IDISC,7,8,1,2,2,11,7.5,1.5,6.5,5.17
Student_1659,IDL,7,0,13,17,17,9,3.5,15.0,13.0,10.5
Student_1660,IDL,2,2,17,3,8,20,2.0,10.0,14.0,8.67
Student_1661,IDISC,5,12,15,11,10,13,8.5,13.0,11.5,11.0
Student_1662,IDL,0,5,8,3,5,9,2.5,5.5,7.0,5.0
Student_1663,IDL,7,10,15,7,14,6,8.5,11.0,10.0,9.83
Student_1664,IDISC,8,17,2,2,14,8,12.5,2.0,11.0,8.5
Student_1665,IDISC,19,11,1,18,12,15,15.0,9.5,13.5,12.67
Student_1666,ISEOC,3,2,0,5,15,6,2.5,2.5,10.5,5.17
Student_1667,IDISC,19,3,3,3,4,16,11.0,3.0,10.0,8.0
Student_1668,ISEOC,18,13,14,0,3,3,15.5,7.0,3.0,8.5
Student_1669,ISEOC,20,19,15,15,11,16,19.5,15.0,13.5,16.0
Student_1670,ISEOC,10,16,2,4,4,10,13.0,3.0,7.0,7.67
Student_1671,ISEOC,19,8,2,14,0,2,13.5,8.0,1.0,7.5
Student_1672,ISEOC,15,5,13,13,2,16,10.0,13.0,9.0,10.67
Student_1673,ISEOC,3,13,2,9,1,16,8.0,5.5,8.5,7.33
Student_1674,ISEOC,11,0,18,2,6,9,5.5,10.0,7.5,7.67
Student_1675,IDL,17,9,4,19,6,9,13.0,11.5,7.5,10.67
Student_1676,IDL,15,3,16,14,12,15,9.0,15.0,13.5,12.5
Student_1677,ISEOC,4,6,10,11,12,6,5.0,10.5,9.0,8.17
Student_1678,IDISC,12,0,16,1,18,4,6.0,8.5,11.0,8.5
Student_1679,IDL,3,19,6,9,16,15,11.0,7.5,15.5,11.33
Student_1680,IDISC,9,19,12,5,3,19,14.0,8.5,11.0,11.17
Student_1681,IDISC,18,1,17,16,18,11,9.5,16.5,14.5,13.5
Student_1682,IDL,16,14,17,15,15,8,15.0,16.0,11.5,14.17
Student_1683,IDISC,0,15,17,18,5,3,7.5,17.5,4.0,9.67
Student_1684,IDISC,19,7,0,20,3,16,13.0,10.0,9.5,10.83
Student_1685,IDL,7,4,8,15,15,13,5.5,11.5,14.0,10.33
Student_1686,IDL,20,10,0,9,4,19,15.0,4.5,11.5,10.33
Student_1687,ISEOC,0,9,12,13,4,1,4.5,12.5,2.5,6.5
Student_1688,IDISC,0,13,3,0,13,9,6.5,1.5,11.0,6.33
Student_1689,IDL,18,9,2,3,15,19,13.5,2.5,17.0,11.0
Student_1690,IDISC,6,10,9,16,7,13,8.0,12.5,10.0,10.17
Student_1691,IDL,6,0,12,8,6,10,3.0,10.0,8.0,7.0
Student_1692,IDL,10,18,4,9,13,4,14.0,6.5,8.5,9.67
Student_1693,IDL,13,15,16,16,10,19,14.0,16.0,14.5,14.83
Student_1694,IDL,20,6,18,8,9,17,13.0,13.0,13.0,13.0
Student_1695,IDL,4,16,18,12,15,8,10.0,15.0,11.5,12.17
Student_1696,IDISC,7,7,7,16,18,15,7.0,11.5,16.5,11.67
Student_1697,IDISC,14,12,16,7,7,2,13.0,11.5,4.5,9.67
Student_1698,IDL,19,4,15,2,17,6,11.5,8.5,11.5,10.5
Student_1699,ISEOC,5,6,11,8,12,17,5.5,9.5,14.5,9.83
Student_1700,IDL,6,16,15,14,5,6,11.0,14.5,5.5,10.33
Student_1701,IDISC,8,19,18,1,4,9,13.5,9.5,6.5,9.83
Student_1702,IDISC,19,9,2,4,8,2,14.0,3.0,5.0,7.33
Student_1703,IDISC,16,8,12,12,0,0,12.0,12.0,0.0,8.0
Student_1704,IDL,9,14,0,16,12,1,11.5,8.0,6.5,8.67
Student_1705,ISEOC,2,18,13,14,10,12,10.0,13.5,11.0,11.5
Student_1706,ISEOC,10,1,4,7,13,20,5.5,5.5,16.5,9.17
Student_1707,IDISC,12,18,20,7,3,4,15.0,13.5,3.5,10.67
Student_1708,IDISC,0,10,3,11,17,0,5.0,7.0,8.5,6.83
Student_1709,ISEOC,1,18,16,14,7,18,9.5,15.0,12.5,12.33
Student_1710,IDISC,9,5,3,14,17,1,7.0,8.5,9.0,8.17
Student_1711,IDISC,17,11,1,6,7,18,14.0,3.5,12.5,10.0
Student_1712,IDISC,14,5,0,18,8,14,9.5,9.0,11.0,9.83
Student_1713,IDISC,6,11,3,19,1,3,8.5,11.0,2.0,7.17
Student_1714,IDL,13,2,9,3,2,12,7.5,6.0,7.0,6.83
Student_1715,IDL,13,4,11,6,20,2,8.5,8.5,11.0,9.33
Student_1716,IDL,11,4,20,9,1,6,7.5,14.5,3.5,8.5
Student_1717,IDISC,1,19,13,6,8,3,10.0,9.5,5.5,8.33
Student_1718,ISEOC,15,2,18,10,7,17,8.5,14.0,12.0,11.5
Student_1719,ISEOC,7,15,19,0,12,8,11.0,9.5,10.0,10.17
Student_1720,IDISC,6,15,11,1,15,10,10.5,6.0,12.5,9.67
Student_1721,ISEOC,15,13,14,12,16,20,14.0,13.0,18.0,15.0
Student_1722,IDL,10,12,19,8,16,5,11.0,13.5,10.5,11.67
Student_1723,ISEOC,13,2,11,12,17,1,7.5,11.5,9.0,9.33
Student_1724,ISEOC,12,7,15,7,8,15,9.5,11.0,11.5,10.67
Student_1725,ISEOC,8,11,13,13,1,12,9.5,13.0,6.5,9.67
Student_1726,IDL,8,12,1,3,15,4,10.0,2.0,9.5,7.17
Student_1727,IDL,11,11,17,7,15,19,11.0,12.0,17.0,13.33
Student_1728,IDL,5,20,12,20,0,1,12.5,16.0,0.5,9.67
Student_1729,IDL,0,17,16,12,6,20,8.5,14.0,13.0,11.83
Student_1730,ISEOC,7,19,11,16,11,18,13.0,13.5,14.5,13.67
Student_1731,IDISC,16,17,9,4,7,1,16.5,6.5,4.0,9.0
Student_1732,IDISC,2,10,6,5,7,4,6.0,5.5,5.5,5.67
Student_1733,IDISC,13,1,2,5,14,3,7.0,3.5,8.5,6.33
Student_1734,ISEOC,13,3,8,7,16,15,8.0,7.5,15.5,10.33
Student_1735,ISEOC,2,7,8,8,9,5,4.5,8.0,7.0,6.5
Student_1736,IDL,17,1,7,2,7,12,9.0,4.5,9.5,7.67
Student_1737,ISEOC,9,7,18,12,9,19,8.0,15.0,14.0,12.33
Student_1738,IDISC,0,9,7,7,0,2,4.5,7.0,1.0,4.17
Student_1739,ISEOC,6,15,0,1,16,14,10.5,0.5,15.0,8.67
Student_1740,IDISC,16,20,4,4,9,4,18.0,4.0,6.5,9.5
Student_1741,ISEOC,14,17,5,6,2,19,15.5,5.5,10.5,10.5
Student_1742,IDL,6,17,11,10,2,8,11.5,10.5,5.0,9.0
Student_1743,ISEOC,0,17,7,0,3,9,8.5,3.5,6.0,6.0
Student_1744,ISEOC,5,17,13,3,16,8,11.0,8.0,12.0,10.33
Student_1745,IDISC,9,8,5,2,7,11,8.5,3.5,9.0,7.0
Student_1746,ISEOC,11,11,11,16,2,13,11.0,13.5,7.5,10.67
Student_1747,ISEOC,16,9,0,3,17,7,12.5,1.5,12.0,8.67
Student_1748,IDISC,4,15,2,9,20,11,9.5,5.5,15.5,10.17
Student_1749,ISEOC,10,3,14,1,11,13,6.5,7.5,12.0,8.67
Student_1750,IDISC,8,6,3,11,8,3,7.0,7.0,5.5,6.5
Student_1751,ISEOC,0,1,0,11,7,19,0.5,5.5,13.0,6.33
Student_1752,IDL,12,14,17,2,4,0,13.0,9.5,2.0,8.17
Student_1753,IDISC,10,10,14,8,13,2,10.0,11.0,7.5,9.5
Student_1754,ISEOC,15,1,0,15,5,0,8.0,7.5,2.5,6.0
Student_1755,IDISC,4,16,17,4,14,1,10.0,10.5,7.5,9.33
Student_1756,IDISC,2,11,12,10,4,16,6.5,11.0,10.0,9.17
Student_1757,IDISC,16,19,9,16,7,10,17.5,12.5,8.5,12.83
Student_1758,ISEOC,5,1,19,7,11,10,3.0,13.0,10.5,8.83
Student_1759,IDL,1,2,3,7,5,12,1.5,5.0,8.5,5.0
Student_1760,IDL,12,17,19,19,17,16,14.5,19.0,16.5,16.67
Student_1761,IDL,6,10,3,13,2,16,8.0,8.0,9.0,8.33
Student_1762,IDISC,3,6,4,5,14,8,4.5,4.5,11.0,6.67
Student_1763,ISEOC,10,2,11,20,16,10,6.0,15.5,13.0,11.5
Student_1764,IDL,20,15,7,4,16,8,17.5,5.5,12.0,11.67
Student_1765,IDL,20,5,3,12,5,4,12.5,7.5,4.5,8.17
Student_1766,IDL,10,19,1,9,6,4,14.5,5.0,5.0,8.17
Student_1767,IDL,6,17,13,7,9,20,11.5,10.0,14.5,12.0
Student_1768,ISEOC,3,19,19,17,2,16,11.0,18.0,9.0,12.67
Student_1769,IDISC,8,15,11,0,8,8,11.5,5.5,8.0,8.33
Student_1770,IDL,0,15,17,16,19,7,7.5,16.5,13.0,12.33
Student_1771,ISEOC,5,16,3,5,17,15,10.5,4.0,16.0,10.17
Student_1772,ISEOC,13,16,4,11,7,3,14.5,7.5,5.0,9.0
Student_1773,ISEOC,20,9,13,15,16,14,14.5,14.0,15.0,14.5
Student_1774,IDISC,15,5,13,6,12,11,10.0,9.5,11.5,10.33
Student_1775,IDISC,5,6,14,20,11,13,5.5,17.0,12.0,11.5
Student_1776,IDISC,8,18,7,3,0,13,13.0,5.0,6.5,8.17
Student_1777,IDISC,2,3,13,9,13,9,2.5,11.0,11.0,8.17
Student_1778,ISEOC,20,18,7,14,3,15,19.0,10.5,9.0,12.83
Student_1779,ISEOC,19,13,5,1,17,3,16.0,3.0,10.0,9.67
Student_1780,IDISC,10,9,5,1,10,17,9.5,3.0,13.5,8.67
Student_1781,ISEOC,2,12,1,7,0,20,7.0,4.0,10.0,7.0
Student_1782,ISEOC,1,13,20,12,9,4,7.0,16.0,6.5,9.83
Student_1783,IDISC,0,1,13,2,8,13,0.5,7.5,10.5,6.17
Student_1784,IDL,18,16,15,15,10,11,17.0,15.0,10.5,14.17
Student_1785,IDL,20,1,1,5,10,3,10.5,3.0,6.5,6.67
Student_1786,IDISC,17,1,2,14,20,20,9.0,8.0,20.0,12.33
Student_1787,IDISC,14,19,2,13,20,7,16.5,7.5,13.5,12.5
Student_1788,ISEOC,8,20,16,14,15,18,14.0,15.0,16.5,15.17
Student_1789,ISEOC,19,7,16,16,15,5,13.0,16.0,10.0,13.0
Student_1790,IDISC,0,14,20,20,1,13,7.0,20.0,7.0,11.33
Student_1791,ISEOC,20,14,19,8,16,19,17.0,13.5,17.5,16.0
Student_1792,IDISC,19,1,15,12,3,9,10.0,13.5,6.0,9.83
Student_1793,IDISC,13,14,8,1,8,0,13.5,4.5,4.0,7.33
Student_1794,IDL,11,20,13,2,1,18,15.5,7.5,9.5,10.83
Student_1795,IDL,15,14,6,14,5,12,14.5,10.0,8.5,11.0
Student_1796,IDL,4,3,2,5,19,5,3.5,3.5,12.0,6.33
Student_1797,IDISC,7,9,9,10,9,15,8.0,9.5,12.0,9.83
Student_1798,IDL,8,4,10,20,0,19,6.0,15.0,9.5,10.17
Student_1799,IDISC,18,1,11,12,3,18,9.5,11.5,10.5,10.5
Student_1800,ISEOC,20,4,16,13,15,2,12.0,14.5,8.5,11.67
Student_1801,ISEOC,17,17,7,13,13,17,17.0,10.0,15.0,14.0
Student_1802,IDL,6,9,12,12,10,8,7.5,12.0,9.0,9.5
Student_1803,IDL,11,14,17,6,20,8,12.5,11.5,14.0,12.67
Student_1804,IDISC,2,3,4,17,19,14,2.5,10.5,16.5,9.83
Student_1805,ISEOC,16,15,5,15,7,14,15.5,10.0,10.5,12.0
Student_1806,IDISC,9,5,3,13,17,0,7.0,8.0,8.5,7.83
Student_1807,ISEOC,18,12,6,17,4,12,15.0,11.5,8.0,11.5
Student_1808,ISEOC,16,6,18,19,1,1,11.0,18.5,1.0,10.17
Student_1809,IDISC,3,9,4,9,6,10,6.0,6.5,8.0,6.83
Student_1810,IDL,13,0,11,20,0,4,6.5,15.5,2.0,8.0
Student_1811,IDL,12,16,12,7,17,8,14.0,9.5,12.5,12.0
Student_1812,IDISC,1,2,8,4,11,15,1.5,6.0,13.0,6.83
Student_1813,IDISC,5,9,16,7,5,18,7.0,11.5,11.5,10.0
Student_1814,IDL,12,19,14,14,1,8,15.5,14.0,4.5,11.33
Student_1815,IDISC,7,19,10,18,0,11,13.0,14.0,5.5,10.83
Student_1816,ISEOC,13,1,16,5,6,2,7.0,10.5,4.0,7.17
Student_1817,IDISC,11,12,19,13,15,5,11.5,16.0,10.0,12.5
Student_1818,IDL,1,8,12,20,17,12,4.5,16.0,14.5,11.67
Student_1819,IDISC,3,1,6,15,11,11,2.0,10.5,11.0,7.83
Student_1820,ISEOC,7,20,18,16,14,1,13.5,17.0,7.5,12.67
Student_1821,ISEOC,12,4,12,15,20,19,8.0,13.5,19.5,13.67
Student_1822,IDISC,2,13,19,15,0,9,7.5,17.0,4.5,9.67
Student_1823,ISEOC,5,4,16,7,4,6,4.5,11.5,5.0,7.0
Student_1824,IDISC,14,13,12,19,19,12,13.5,15.5,15.5,14.83
Student_1825,IDISC,5,3,8,0,7,17,4.0,4.0,12.0,6.67
Student_1826,IDISC,9,9,20,1,16,20,9.0,10.5,18.0,12.5
Student_1827,IDL,8,9,3,1,6,3,8.5,2.0,4.5,5.0
Student_1828,ISEOC,15,5,20,16,2,5,10.0,18.0,3.5,10.5
Student_1829,IDL,17,6,5,9,2,7,11.5,7.0,4.5,7.67
Student_1830,IDISC,4,6,19,15,18,4,5.0,17.0,11.0,11.0
Student_1831,IDISC,4,10,19,7,13,2,7.0,13.0,7.5,9.17
Student_1832,ISEOC,0,14,4,16,2,11,7.0,10.0,6.5,7.83
Student_1833,IDL,17,15,10,6,4,10,16.0,8.0,7.0,10.33
Student_1834,IDISC,0,1,18,20,6,19,0.5,19.0,12.5,10.67
Student_1835,IDL,9,16,3,9,3,19,12.5,6.0,11.0,9.83
Student_1836,IDL,6,4,20,16,6,1,5.0,18.0,3.5,8.83
Student_1837,IDL,11,5,8,20,19,4,8.0,14.0,11.5,11.17
Student_1838,IDISC,12,13,18,3,14,17,12.5,10.5,15.5,12.83
Student_1839,IDL,7,10,9,4,18,9,8.5,6.5,13.5,9.5
Student_1840,IDL,17,11,18,6,17,12,14.0,12.0,14.5,13.5
Student_1841,IDISC,7,15,8,19,5,4,11.0,13.5,4.5,9.67
Student_1842,ISEOC,7,20,19,5,16,8,13.5,12.0,12.0,12.5
Student_1843,IDL,12,19,17,19,7,8,15.5,18.0,7.5,13.67
Student_1844,ISEOC,2,9,10,6,1,3,5.5,8.0,2.0,5.17
Student_1845,ISEOC,14,4,1,20,4,3,9.0,10.5,3.5,7.67
Student_1846,ISEOC,16,7,13,11,2,1,11.5,12.0,1.5,8.33
Student_1847,IDISC,15,1,2,16,5,3,8.0,9.0,4.0,7.0
Student_1848,IDISC,17,19,3,19,13,11,18.0,11.0,12.0,13.67
Student_1849,IDISC,10,19,9,8,2,10,14.5,8.5,6.0,9.67
Student_1850,IDL,11,6,15,7,3,20,8.5,11.0,11.5,10.33
Student_1851,IDISC,19,3,19,11,9,11,11.0,15.0,10.0,12.0
Student_1852,IDISC,6,6,7,11,2,9,6.0,9.0,5.5,6.83
Student_1853,IDISC,15,19,9,1,12,15,17.0,5.0,13.5,11.83
Student_1854,IDISC,4,4,20,0,3,11,4.0,10.0,7.0,7.0
Student_1855,IDL,16,14,5,15,14,8,15.0,10.0,11.0,12.0
Student_1856,IDISC,3,19,2,7,3,0,11.0,4.5,1.5,5.67
Student_1857,IDISC,8,2,6,0,14,9,5.0,3.0,11.5,6.5
Student_1858,ISEOC,20,4,6,6,15,4,12.0,6.0,9.5,9.17
Student_1859,IDISC,19,18,3,20,10,17,18.5,11.5,13.5,14.5
Student_1860,ISEOC,13,14,13,0,9,12,13.5,6.5,10.5,10.17
Student_1861,IDISC,17,20,5,18,8,10,18.5,11.5,9.0,13.0
Student_1862,IDISC,0,9,9,20,18,4,4.5,14.5,11.0,10.0
Student_1863,IDL,9,5,17,12,5,5,7.0,14.5,5.0,8.83
Student_1864,ISEOC,13,3,8,5,11,3,8.0,6.5,7.0,7.17
Student_1865,IDISC,4,6,20,15,1,4,5.0,17.5,2.5,8.33
Student_1866,ISEOC,14,20,20,3,3,11,17.0,11.5,7.0,11.83
Student_1867,IDL,20,6,20,3,5,1,13.0,11.5,3.0,9.17
Student_1868,IDISC,12,6,0,17,5,15,9.0,8.5,10.0,9.17
Student_1869,IDL,3,16,17,3,7,1,9.5,10.0,4.0,7.83
Student_1870,ISEOC,14,17,14,20,14,19,15.5,17.0,16.5,16.33
Student_1871,IDL,17,9,13,1,3,7,13.0,7.0,5.0,8.33
Student_1872,IDL,20,11,2,0,13,20,15.5,1.0,16.5,11.0
Student_1873,ISEOC,1,11,0,0,15,0,6.0,0.0,7.5,4.5
Student_1874,IDL,6,7,4,4,0,12,6.5,4.0,6.0,5.5
Student_1875,IDISC,3,1,14,6,16,18,2.0,10.0,17.0,9.67
Student_1876,IDL,8,1,18,15,15,5,4.5,16.5,10.0,10.33
Student_1877,IDL,6,1,5,11,17,17,3.5,8.0,17.0,9.5
Student_1878,IDISC,7,7,20,8,2,1,7.0,14.0,1.5,7.5
Student_1879,IDL,14,6,6,16,12,0,10.0,11.0,6.0,9.0
Student_1880,IDISC,18,12,1,1,1,18,15.0,1.0,9.5,8.5
Student_1881,IDISC,15,14,12,1,12,19,14.5,6.5,15.5,12.17
Student_1882,IDL,8,15,13,5,3,10,11.5,9.0,6.5,9.0
Student_1883,ISEOC,11,16,9,5,8,0,13.5,7.0,4.0,8.17
Student_1884,ISEOC,20,5,14,6,17,18,12.5,10.0,17.5,13.33
Student_1885,IDL,10,8,11,20,10,9,9.0,15.5,9.5,11.33
Student_1886,IDISC,15,5,8,10,5,13,10.0,9.0,9.0,9.33
Student_1887,IDISC,8,14,7,4,17,6,11.0,5.5,11.5,9.33
Student_1888,ISEOC,15,15,8,0,4,6,15.0,4.0,5.0,8.0
Student_1889,ISEOC,1,8,0,19,8,1,4.5,9.5,4.5,6.17
Student_1890,IDISC,0,3,19,0,1,9,1.5,9.5,5.0,5.33
Student_1891,IDL,6,7,15,11,13,15,6.5,13.0,14.0,11.17
Student_1892,ISEOC,20,18,11,14,7,17,19.0,12.5,12.0,14.5
Student_1893,ISEOC,15,20,4,5,20,1,17.5,4.5,10.5,10.83
Student_1894,ISEOC,4,16,3,15,9,5,10.0,9.0,7.0,8.67
Student_1895,IDISC,17,0,1,20,10,5,8.5,10.5,7.5,8.83
Student_1896,ISEOC,18,3,0,16,20,12,10.5,8.0,16.0,11.5
Student_1897,ISEOC,6,9,10,1,18,13,7.5,5.5,15.5,9.5
Student_1898,IDL,5,0,16,8,12,20,2.5,12.0,16.0,10.17
Student_1899,ISEOC,16,9,3,8,8,18,12.5,5.5,13.0,10.33
Student_1900,IDISC,12,1,11,15,13,17,6.5,13.0,15.0,11.5
Student_1901,IDISC,16,20,12,15,1,10,18.0,13.5,5.5,12.33
Student_1902,ISEOC,4,17,2,11,20,20,10.5,6.5,20.0,12.33
Student_1903,ISEOC,19,7,10,0,9,20,13.0,5.0,14.5,10.83
Student_1904,ISEOC,16,18,6,8,10,4,17.0,7.0,7.0,10.33
Student_1905,IDL,2,5,9,7,20,16,3.5,8.0,18.0,9.83
Student_1906,ISEOC,15,14,3,13,11,17,14.5,8.0,14.0,12.17
Student_1907,IDISC,9,20,7,2,3,5,14.5,4.5,4.0,7.67
Student_1908,IDISC,8,7,9,2,17,12,7.5,5.5,14.5,9.17
Student_1909,ISEOC,14,7,4,13,7,18,10.5,8.5,12.5,10.5
Student_1910,ISEOC,13,6,11,17,8,15,9.5,14.0,11.5,11.67
Student_1911,IDL,10,17,3,4,1,10,13.5,3.5,5.5,7.5
Student_1912,IDL,6,4,13,15,15,11,5.0,14.0,13.0,10.67
Student_1913,ISEOC,6,16,13,9,20,0,11.0,11.0,10.0,10.67
Student_1914,IDISC,7,19,19,11,2,14,13.0,15.0,8.0,12.0
Student_1915,ISEOC,6,3,8,1,9,18,4.5,4.5,13.5,7.5
Student_1916,ISEOC,12,18,0,8,14,16,15.0,4.0,15.0,11.33
Student_1917,IDISC,0,19,18,17,19,8,9.5,17.5,13.5,13.5
Student_1918,ISEOC,10,2,8,11,3,6,6.0,9.5,4.5,6.67
Student_1919,IDISC,4,8,11,7,1,1,6.0,9.0,1.0,5.33
Student_1920,IDISC,9,2,1,1,20,16,5.5,1.0,18.0,8.17
Student_1921,IDL,11,20,12,2,5,20,15.5,7.0,12.5,11.67
Student_1922,IDISC,4,12,6,8,13,12,8.0,7.0,12.5,9.17
Student_1923,IDISC,18,0,14,9,15,6,9.0,11.5,10.5,10.33
Student_1924,IDISC,17,16,9,4,10,11,16.5,6.5,10.5,11.17
Student_1925,IDISC,0,8,11,0,11,5,4.0,5.5,8.0,5.83
Student_1926,IDL,1,14,2,0,2,0,7.5,1.0,1.0,3.17
Student_1927,ISEOC,1,17,9,5,9,11,9.0,7.0,10.0,8.67
Student_1928,ISEOC,12,5,6,3,12,20,8.5,4.5,16.0,9.67
Student_1929,IDL,16,9,7,20,0,13,12.5,13.5,6.5,10.83
Student_1930,IDL,3,11,2,15,9,8,7.0,8.5,8.5,8.0
Student_1931,IDL,13,15,10,12,13,11,14.0,11.0,12.0,12.33
Student_1932,ISEOC,4,6,7,1,10,19,5.0,4.0,14.5,7.83
Student_1933,ISEOC,15,1,10,18,1,4,8.0,14.0,2.5,8.17
Student_1934,IDISC,10,1,20,18,20,15,5.5,19.0,17.5,14.0
Student_1935,ISEOC,18,0,19,4,4,1,9.0,11.5,2.5,7.67
Student_1936,IDISC,13,9,13,0,9,7,11.0,6.5,8.0,8.5
Student_1937,IDL,0,5,1,19,10,14,2.5,10.0,12.0,8.17
Student_1938,ISEOC,12,10,11,18,12,3,11.0,14.5,7.5,11.0
Student_1939,IDL,12,9,3,15,5,2,10.5,9.0,3.5,7.67
Student_1940,IDL,17,7,8,4,18,8,12.0,6.0,13.0,10.33
Student_1941,ISEOC,0,14,12,7,13,7,7.0,9.5,10.0,8.83
Student_1942,IDL,10,1,2,19,13,19,5.5,10.5,16.0,10.67
Student_1943,IDL,3,7,15,8,3,6,5.0,11.5,4.5,7.0
Student_1944,ISEOC,1,2,6,9,2,8,1.5,7.5,5.0,4.67
Student_1945,IDL,13,5,9,1,14,20,9.0,5.0,17.0,10.33
Student_1946,ISEOC,11,1,13,10,1,1,6.0,11.5,1.0,6.17
Student_1947,IDL,8,1,18,3,6,9,4.5,10.5,7.5,7.5
Student_1948,IDISC,18,12,2,15,7,10,15.0,8.5,8.5,10.67
Student_1949,ISEOC,2,17,16,5,7,9,9.5,10.5,8.0,9.33
Student_1950,ISEOC,13,14,2,0,14,7,13.5,1.0,10.5,8.33
Student_1951,IDL,17,2,8,7,12,4,9.5,7.5,8.0,8.33
Student_1952,ISEOC,19,1,10,0,10,6,10.0,5.0,8.0,7.67
Student_1953,ISEOC,5,6,11,11,2,15,5.5,11.0,8.5,8.33
Student_1954,ISEOC,3,14,0,1,18,10,8.5,0.5,14.0,7.67
Student_1955,IDISC,5,14,20,7,15,14,9.5,13.5,14.5,12.5
Student_1956,IDL,4,6,8,11,20,12,5.0,9.5,16.0,10.17
Student_1957,IDL,16,7,18,14,9,19,11.5,16.0,14.0,13.83
Student_1958,IDL,18,17,19,12,14,15,17.5,15.5,14.5,15.83
Student_1959,ISEOC,0,8,2,5,9,8,4.0,3.5,8.5,5.33
Student_1960,IDISC,2,7,13,3,13,18,4.5,8.0,15.5,9.33
Student_1961,ISEOC,4,12,2,10,6,14,8.0,6.0,10.0,8.0
Student_1962,ISEOC,4,12,3,0,4,10,8.0,1.5,7.0,5.5
Student_1963,IDL,9,12,10,13,12,0,10.5,11.5,6.0,9.33
Student_1964,IDL,11,19,19,17,15,6,15.0,18.0,10.5,14.5
Student_1965,IDISC,17,8,3,9,1,9,12.5,6.0,5.0,7.83
Student_1966,IDL,11,4,13,13,17,6,7.5,13.0,11.5,10.67
Student_1967,ISEOC,12,18,6,0,2,7,15.0,3.0,4.5,7.5
Student_1968,ISEOC,9,1,3,14,13,11,5.0,8.5,12.0,8.5
Student_1969,IDL,9,15,3,6,9,3,12.0,4.5,6.0,7.5
Student_1970,ISEOC,4,9,8,10,5,14,6.5,9.0,9.5,8.33
Student_1971,ISEOC,4,11,1,18,7,0,7.5,9.5,3.5,6.83
Student_1972,IDL,20,20,14,1,19,2,20.0,7.5,10.5,12.67
Student_1973,ISEOC,5,4,1,2,17,14,4.5,1.5,15.5,7.17
Student_1974,ISEOC,15,20,15,15,3,18,17.5,15.0,10.5,14.33
Student_1975,IDL,14,12,18,3,15,1,13.0,10.5,8.0,10.5
Student_1976,IDL,15,8,11,9,20,10,11.5,10.0,15.0,12.17
Student_1977,IDISC,0,20,1,9,7,17,10.0,5.0,12.0,9.0
Student_1978,IDISC,17,17,4,3,14,6,17.0,3.5,10.0,10.17
Student_1979,IDL,13,8,20,8,15,1,10.5,14.0,8.0,10.83
Student_1980,IDISC,5,0,0,16,14,16,2.5,8.0,15.0,8.5
Student_1981,ISEOC,8,10,9,6,19,13,9.0,7.5,16.0,10.83
Student_1982,ISEOC,4,0,9,16,7,1,2.0,12.5,4.0,6.17
Student_1983,IDISC,3,11,1,18,6,6,7.0,9.5,6.0,7.5
Student_1984,ISEOC,4,17,12,13,10,4,10.5,12.5,7.0,10.0
Student_1985,IDISC,18,18,8,3,6,8,18.0,5.5,7.0,10.17
Student_1986,ISEOC,9,17,17,15,17,3,13.0,16.0,10.0,13.0
Student_1987,IDL,13,6,19,3,6,3,9.5,11.0,4.5,8.33
Student_1988,IDL,4,10,4,1,7,3,7.0,2.5,5.0,4.83
Student_1989,IDISC,2,10,5,8,11,17,6.0,6.5,14.0,8.83
Student_1990,IDL,14,3,10,3,9,11,8.5,6.5,10.0,8.33
Student_1991,IDL,13,3,8,4,12,2,8.0,6.0,7.0,7.0
Student_1992,IDISC,3,2,14,19,9,13,2.5,16.5,11.0,10.0
Student_1993,IDL,6,13,20,11,10,12,9.5,15.5,11.0,12.0
Student_1994,ISEOC,9,10,1,5,1,5,9.5,3.0,3.0,5.17
Student_1995,ISEOC,17,19,13,20,15,15,18.0,16.5,15.0,16.5
Student_1996,IDL,20,8,8,6,7,7,14.0,7.0,7.0,9.33
Student_1997,ISEOC,19,19,9,17,1,19,19.0,13.0,10.0,14.0
Student_1998,IDL,4,20,5,18,20,17,12.0,11.5,18.5,14.0
Student_1999,IDISC,8,3,13,11,3,20,5.5,12.0,11.5,9.67
